athlete_id,country_id,athlete_name,gender,date,,,,
1,1,KIM Je Deok,Male,2004-04-12,,,,
2,1,AN San,Female,2001-02-27,,,,
3,2,SCHLOESSER Gabriela,Female,1994-02-18,,,,
4,2,WIJLER Steve,Male,1996-09-19,,,,
5,3,ALVAREZ Luis,Male,1991-04-13,,,,
6,3,VALENCIA Alejandra,Female,1994-10-17,,,,
7,4,CARAPAZ Richard,Male,1993-05-29,,,,
8,5,van AERT Wout,Male,1994-09-15,,,,
9,6,POGACAR Tadej,Male,1998-09-21,,,,
10,7,SZILAGYI Aron,Male,1990-01-14,,,,
11,8,SAMELE Luigi,Male,1987-07-25,,,,
12,1,KIM Junghwan,Male,1983-09-02,,,,
13,9,SUN Yiwen,Female,1992-06-17,,,,
14,10,POPESCU Ana Maria,Female,1984-11-26,,,,
15,11,LEHIS Katrina,Female,1994-12-19,,,,
16,12,TAKATO Naohisa,Male,1993-05-30,,,,
17,13,YANG Yung Wei,Male,1997-09-28,,,,
18,14,MKHEIDZE Luka,Male,1996-01-05,,,,
19,15,SMETOV Yeldos,Male,1992-09-09,,,,
20,16,KRASNIQI Distria,Female,1995-12-10,,,,
21,12,TONAKI Funa,Female,1995-08-01,,,,
22,17,BILODID Daria,Female,2000-10-10,,,,
23,18,MUNKHBAT Urantsetseg,Female,1990-03-14,,,,
24,19,FOROUGHI Javad,Male,1979-09-11,,,,
25,20,MIKEC Damir,Male,1984-03-31,,,,
26,9,PANG Wei,Male,1986-07-19,,,,
27,9,YANG Qian,Female,2000-07-10,,,,
28,21,GALASHINA Anastasiia,Female,1997-02-03,,,,
29,22,CHRISTEN Nina,Female,1994-02-07,,,,
30,8,DELL'AQUILA Vito,Male,2000-11-03,,,,
31,23,JENDOUBI Mohamed Khalil,Male,2002-06-01,,,,
32,21,ARTAMONOV Mikhail,Male,1997-07-20,,,,
33,1,JANG Jun,Male,2000-04-16,,,,
34,24,WONGPATTANAKIT Panipak,Female,1997-08-08,,,,
35,25,CEREZO IGLESIAS Adriana,Female,2003-11-24,,,,
36,20,BOGDANOVIC Tijana,Female,1998-05-04,,,,
37,26,SEMBERG Abishag,Female,2001-09-16,,,,
38,9,HOU Zhihui,Female,1997-03-18,,,,
39,27,MIRABAI Chanu Saikhom,Female,1994-08-08,,,,
40,28,AISAH Windy Cantika,Female,2002-06-11,,,,
41,1,KANG Chaeyoung,Female,1996-06-08,,,,
42,1,AN San,Female,2001-02-27,,,,
43,1,JANG Minhee,Female,1999-04-05,,,,
44,21,OSIPOVA Elena,Female,1993-05-22,,,,
45,21,PEROVA Ksenia,Female,1989-02-08,,,,
46,21,GOMBOEVA Svetlana,Female,1998-06-08,,,,
47,29,SCHWARZ Charline,Female,2001-01-15,,,,
48,29,UNRUH Lisa,Female,1988-04-12,,,,
49,29,KROPPEN Michelle,Female,1996-04-19,,,,
50,30,KIESENHOFER Anna,Female,1991-02-14,,,,
51,2,van VLEUTEN Annemiek,Female,1982-10-08,,,,
52,8,LONGO BORGHINI Elisa,Female,1991-12-10,,,,
53,9,WANG Han,Female,1991-01-24,,,,
54,9,SHI Tingmao,Female,1991-08-31,,,,
55,31,ABEL Jennifer,Female,1991-08-23,,,,
56,31,CITRINI BEAULIEU Melissa,Female,1995-06-12,,,,
57,29,HENTSCHEL Lena,Female,2001-06-17,,,,
58,29,PUNZEL Tina,Female,1995-08-01,,,,
59,14,CANNONE Romain,Male,1997-04-12,,,,
60,7,SIKLOSI Gergely,Male,1997-09-04,,,,
61,17,REIZLIN Igor,Male,1984-02-07,,,,
62,32,KIEFER Lee,Female,1994-06-15,,,,
63,21,DERIGLAZOVA Inna,Female,1990-03-10,,,,
64,21,KOROBEYNIKOVA Larisa,Female,1987-03-26,,,,
65,12,ABE Hifumi,Male,1997-08-09,,,,
66,33,MARGVELASHVILI Vazha,Male,1993-10-03,,,,
67,1,AN Baul,Male,1994-03-25,,,,
