discipline_id,discipline
1,Archery
2,Cycling Road
3,Fencing
4,Judo
5,Shooting
6,Taekwondo
7,Weightlifting
8,Diving
9,Skateboarding
10,Swimming
11,Artistic Gymnastics
12,Canoe Slalom
13,Cycling Mountain Bike
14,Table Tennis
15,Triathlon
16,Baseball/Softball
17,Equestrian
18,Surfing
19,3x3 Basketball
20,Rowing
21,Rugby Sevens
22,Athletics
23,Badminton
24,Cycling BMX Racing
25,Tennis
26,Trampoline Gymnastics 
27,Boxing
28,Sailing
29,Cycling BMX Freestyle 
30,Golf
31,Cycling Track
32,Wrestling
33,Canoe Sprint
34,Artistic Swimming
35,Marathon Swimming
36,Hockey
37,Karate
38,Sport Climbing
39,Beach Volleyball
40,Football
41,Modern Pentathlon
42,Basketball
43,Handball
44,Rhythmic Gymnastics
45,Volleyball
46,Water Polo
