event_id,discipline_id,discipline_event
1,1,Archery Mixed Team
2,2,Cycling Road Men's Road Race
3,3,Fencing Men's Sabre Individual
4,3,Fencing Women's &Eacute;p&eacute;e Individual
5,4,Judo Men -60 kg
6,4,Judo Women -48 kg
7,5,Shooting 10m Air Pistol Men
8,5,Shooting 10m Air Rifle Women
9,6,Taekwondo Men -58kg
10,6,Taekwondo Women -49kg
11,7,Weightlifting Women's 49kg
12,1,Archery Women's Team
13,2,Cycling Road Women's Road Race
14,8,Diving Women's Synchronised 3m Springboard
15,3,Fencing Men's &Eacute;p&eacute;e Individual
16,3,Fencing Women's Foil Individual
17,4,Judo Men -66 kg18,4,Judo Women -52 kg
19,5,Shooting 10m Air Pistol Women
20,5,Shooting 10m Air Rifle Men
21,9,Skateboarding Men's Street
22,10,Swimming Men's 400m Freestyle
23,10,Swimming Men's 400m Individual Medley
24,10,Swimming Women's 4 x 100m Freestyle Relay
25,10,Swimming Women's 400m Individual Medley
26,6,Taekwondo Men -68kg
27,6,Taekwondo Women -57kg
28,7,Weightlifting Men's 61kg
29,7,Weightlifting Men's 67kg
30,1,Archery Men's Team
31,11,Artistic Gymnastics Men's Team
32,12,Canoe Slalom Men's Canoe
33,13,Cycling Mountain Bike Men's Cross-country
34,8,Diving Men's Synchronised 10m Platform
35,3,Fencing Men's Foil Individual
36,3,Fencing Women's Sabre Individual
37,4,Judo Men -73 kg
38,4,Judo Women -57 kg
39,5,Shooting Skeet Men
40,5,Shooting Skeet Women
41,9,Skateboarding Women's Street
42,10,Swimming Men's 100m Breaststroke
43,10,Swimming Men's 4 x 100m Freestyle Relay
44,10,Swimming Women's 100m Butterfly
45,10,Swimming Women's 400m Freestyle
46,14,Table Tennis Mixed Doubles
47,6,Taekwondo Men -80kg
48,6,Taekwondo Women -67kg
49,15,Triathlon Men's Individual
50,7,Weightlifting Women's 55kg
51,11,Artistic Gymnastics Women's Team
52,16,Baseball/Softball Softball
53,12,Canoe Slalom Women's Kayak
54,13,Cycling Mountain Bike Women's Cross-country
55,8,Diving Women's Synchronised 10m Platform
56,17,Equestrian Dressage Team
57,3,Fencing Women's &Eacute;p&eacute;e Team
58,4,Judo Men -81 kg
59,4,Judo Women -63 kg
60,5,Shooting 10m Air Pistol Mixed Team
61,5,Shooting 10m Air Rifle Mixed Team
62,18,Surfing Men
63,18,Surfing Women
64,10,Swimming Men's 100m Backstroke
65,10,Swimming Men's 200m Freestyle
66,10,Swimming Women's 100m Backstroke
67,10,Swimming Women's 100m Breaststroke
68,6,Taekwondo Men +80kg
69,6,Taekwondo Women +67kg
70,15,Triathlon Women's Individual
71,7,Weightlifting Women's 59kg
72,7,Weightlifting Women's 64kg
73,19,3x3 Basketball Men
74,19,3x3 Basketball Women
75,11,Artistic Gymnastics Men's All-Around
76,2,Cycling Road Men's Individual Time Trial
77,2,Cycling Road Women's Individual Time Trial
78,8,Diving Men's Synchronised 3m Springboard
79,17,Equestrian Dressage Individual
80,3,Fencing Men's Sabre Team
81,4,Judo Men -90 kg
82,4,Judo Women -70 kg
83,20,Rowing Men's Double Sculls
84,20,Rowing Men's Four
85,20,Rowing Men's Quadruple Sculls
86,20,Rowing Women's Double Sculls
